event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
716,GMM,False,False,True,False,False,False,False,False
717,GMM,False,False,True,False,False,False,False,False
718,GMM,False,False,False,False,True,False,False,False
719,GMM,False,False,False,False,True,False,False,True
721,GMM,True,False,False,False,False,False,False,False
724,GMM,False,False,False,False,True,False,False,False
725,GMM,False,False,False,True,False,True,False,False
726,GMM,False,False,True,False,False,False,False,False
727,GMM,False,False,True,False,True,False,False,True
728,GMM,True,False,False,False,False,False,False,False
729,GMM,False,False,False,False,True,False,False,False
731,GMM,False,True,False,False,False,False,False,False
732,GMM,False,False,False,False,True,False,False,False
733,GMM,False,True,False,False,False,False,False,False
735,GMM,False,False,False,False,True,False,False,False
737,GMM,False,True,False,False,False,False,False,False
739,GMM,False,False,False,False,True,False,False,False
740,GMM,False,False,False,False,True,False,False,False
744,GMM,False,True,False,False,False,False,False,False
745,GMM,False,False,False,False,True,False,False,False
746,GMM,False,True,False,False,False,False,False,False
747,GMM,False,False,False,False,True,False,False,True
749,GMM,False,False,True,False,True,False,False,False
750,GMM,False,False,True,False,False,False,False,False
3503,GMM,False,False,False,False,True,False,False,False
3505,GMM,False,True,False,False,False,False,False,False
3506,GMM,False,False,False,False,True,False,False,False
3508,GMM,False,True,False,False,False,False,False,False
3509,GMM,True,False,False,False,False,False,False,False
3510,GMM,False,False,False,True,True,True,False,False
3511,GMM,True,False,False,False,False,False,False,False
3514,GMM,False,True,False,False,False,False,False,False
3515,GMM,False,False,True,False,True,False,False,True
3516,GMM,False,False,False,False,True,False,False,False
3517,GMM,False,False,False,False,True,False,False,False
3518,GMM,False,False,True,False,False,False,False,False
3522,GMM,False,False,True,False,True,False,False,False
3523,GMM,False,False,False,False,False,True,False,True
3524,GMM,False,False,True,False,True,False,False,False
3527,GMM,True,False,False,False,False,False,False,False
3528,GMM,False,False,True,False,True,False,False,False
3531,GMM,True,False,False,False,False,False,False,False
3532,GMM,False,False,True,False,False,False,False,True
3534,GMM,False,False,False,False,True,False,False,False
3538,GMM,False,False,False,False,True,False,False,False
3539,GMM,False,False,False,False,True,False,False,False
3540,GMM,False,False,False,False,True,False,False,False
3542,GMM,False,False,True,False,True,False,False,False
3543,GMM,False,False,False,True,False,True,False,False
3546,GMM,False,False,False,False,True,False,False,False
3547,GMM,False,False,False,False,True,False,False,False
3549,GMM,False,False,False,False,True,False,False,True
3550,GMM,False,False,False,False,True,False,False,False
3551,GMM,False,False,False,False,True,False,False,False
3552,GMM,False,False,False,False,True,False,False,False
3553,GMM,False,False,False,False,True,False,False,False
3554,GMM,False,False,False,False,True,False,False,False
