0	0	0	0		3	32
0	0	0	1		1	32
0	0	0	2		2	32
0	0	0	3		0	32
0	0	0	4		3	33
0	0	0	5		1	33
0	0	0	6		2	33
0	0	0	7		0	33
0	0	0	8		3	34
0	0	0	9		1	34
0	0	0	10		2	34
0	0	0	11		-1	-1
0	0	0	12		0	34
0	0	0	13		3	48
0	0	0	14		1	48
0	0	0	15		2	48
0	0	0	16		0	48
0	0	0	17		3	49
0	0	0	18		1	49
0	0	0	19		2	49
0	0	0	20		0	49
0	0	0	21		3	50
0	0	0	22		-1	-1
0	0	0	23		1	50
0	0	0	24		2	50
0	0	0	25		0	50
0	0	0	26		3	51
0	0	0	27		1	51
0	0	0	28		2	51
0	0	0	29		0	51
0	0	0	30		3	52
0	0	0	31		1	52
0	0	0	32		2	52
0	0	0	33		0	52
0	0	0	34		3	53
0	0	0	35		1	53
0	0	0	36		2	53
0	0	0	37		0	53
0	0	0	38		3	54
0	0	0	39		1	54
0	0	0	40		2	54
0	0	0	41		0	54
0	0	0	42		3	55
0	0	0	43		1	55
0	0	0	44		2	55
0	0	0	45		-1	-1
0	0	0	46		0	55
0	0	0	47		3	56
0	0	0	48		1	56
0	0	0	49		2	56
0	0	0	50		0	56
0	0	0	51		3	57
0	0	0	52		1	57
0	0	0	53		2	57
0	0	0	54		0	57
0	0	0	55		0	58
0	0	0	56		-1	-1
0	0	0	57		1	58
0	0	0	58		0	59
0	0	0	59		1	59
0	0	0	60		0	60
0	0	0	61		1	60
0	0	0	62		0	61
0	0	0	63		1	61
0	0	0	64		0	62
0	0	0	65		1	62
0	0	0	66		0	63
0	0	0	67		1	63
0	0	1	0		3	16
0	0	1	1		1	16
0	0	1	2		2	16
0	0	1	3		0	16
0	0	1	4		3	17
0	0	1	5		1	17
0	0	1	6		2	17
0	0	1	7		0	17
0	0	1	8		3	18
0	0	1	9		1	18
0	0	1	10		2	18
0	0	1	11		-1	-1
0	0	1	12		0	18
0	0	1	13		3	19
0	0	1	14		1	19
0	0	1	15		2	19
